Nombre Localidad;Eje Vial
KENNEDY;DG 40C S
KENNEDY;DG 37 S
KENNEDY;CL 45 S
KENNEDY;CL 44 S
KENNEDY;CL 43A S
KENNEDY;CL 42 S
KENNEDY;CL 41G S
KENNEDY;CL 41F S
KENNEDY;CL 41 S
KENNEDY;CL 40F S
KENNEDY;CL 40D S
KENNEDY;CL 40C S
KENNEDY;CL 39F S
KENNEDY;CL 39 S
KENNEDY;CL 38F S
KENNEDY;CL 38C S
KENNEDY;CL 38A S
KENNEDY;CL 38 S
KENNEDY;CL 37C S
KENNEDY;CL 37B S
KENNEDY;CL 37 S
KENNEDY;CL 36 S
KENNEDY;CL 35B S
KENNEDY;CL 35A S
KENNEDY;CL 35 S
KENNEDY;CL 34 S
KENNEDY;CL 31 S
KENNEDY;CL 25 S
KENNEDY;CL 24A S
KENNEDY;CL 12A
KENNEDY;CL 10B
KENNEDY;CL 10
KENNEDY;CL 8BBIS
KENNEDY;CL 7ABIS
KENNEDY;CL 7A
KENNEDY;CL 6D
KENNEDY;CL 6BIS
KENNEDY;CL 6BBIS
KENNEDY;CL 6B
KENNEDY;CL 6A
KENNEDY;CL 2A S
KENNEDY;CL 1 S
KENNEDY;AK 80
KENNEDY;AC 43  S
KENNEDY;AC 26 S
KENNEDY;AC 3
LOS MARTIRES;KR 16
LOS MARTIRES;DG 2A
MARTIRES;KR 29B
MARTIRES;KR 29
MARTIRES;KR 26
MARTIRES;KR 25ABIS
MARTIRES;KR 25
MARTIRES;KR 24
MARTIRES;KR 23A
MARTIRES;KR 19BBIS
MARTIRES;KR 19A
MARTIRES;KR 18C
MARTIRES;KR 18
MARTIRES;KR 17
MARTIRES;KR 16
MARTIRES;KR 15
MARTIRES;DG 22BBIS
MARTIRES;CL 23A
MARTIRES;CL 23
MARTIRES;CL 18
MARTIRES;CL 12
MARTIRES;CL 11
MARTIRES;CL 5A
MARTIRES;CL 3
MARTIRES;CL 1G
MARTIRES;CL 1FBIS
MARTIRES;CL 1F
MARTIRES;CL 1D
MARTIRES;AC 25
PUENTE ARANDA;TV 53
PUENTE ARANDA;KR 67
PUENTE ARANDA;KR 65
PUENTE ARANDA;KR 63
PUENTE ARANDA;KR 60
PUENTE ARANDA;KR 59
PUENTE ARANDA;KR 56A
PUENTE ARANDA;KR 54
PUENTE ARANDA;KR 53DBIS
PUENTE ARANDA;KR 53D
PUENTE ARANDA;KR 53CBIS
PUENTE ARANDA;KR 53
PUENTE ARANDA;KR 52C
PUENTE ARANDA;KR 52B
PUENTE ARANDA;KR 52A
PUENTE ARANDA;KR 52
PUENTE ARANDA;KR 51F
PUENTE ARANDA;KR 51D
PUENTE ARANDA;KR 51
PUENTE ARANDA;KR 50B
PUENTE ARANDA;KR 50A
PUENTE ARANDA;KR 42
PUENTE ARANDA;KR 41B
PUENTE ARANDA;KR 41A
PUENTE ARANDA;KR 41 A
PUENTE ARANDA;KR 40C
PUENTE ARANDA;KR 39
PUENTE ARANDA;KR 38B
PUENTE ARANDA;KR 38
PUENTE ARANDA;KR 34
PUENTE ARANDA;DG 41 S
PUENTE ARANDA;DG 39 S
PUENTE ARANDA;DG 16 S
PUENTE ARANDA;CL 39 S
PUENTE ARANDA;CL 38 A S
PUENTE ARANDA;CL 37S
PUENTE ARANDA;CL 37A S
PUENTE ARANDA;CL 37 S
